m_id,e_id,role
882,112,Lead Mechanic
883,107,Lead Mechanic
884,110,Lead Mechanic
885,108,Lead Mechanic
886,109,Lead Mechanic
886,108,Mechanic
887,110,Lead Mechanic
888,109,Lead Mechanic
889,106,Lead Mechanic
889,110,Mechanic
890,110,Lead Mechanic
891,110,Lead Mechanic
891,108,Mechanic
892,105,Lead Mechanic
893,107,Lead Mechanic
893,111,Mechanic
894,107,Lead Mechanic
895,105,Lead Mechanic
896,109,Lead Mechanic
897,110,Lead Mechanic
898,111,Lead Mechanic
899,111,Lead Mechanic
900,107,Lead Mechanic
901,106,Lead Mechanic
902,106,Lead Mechanic
902,107,Mechanic
903,105,Lead Mechanic
903,108,Mechanic
904,108,Lead Mechanic
905,111,Lead Mechanic
906,110,Lead Mechanic
907,105,Lead Mechanic
908,111,Lead Mechanic
909,105,Lead Mechanic
910,108,Lead Mechanic
910,112,Mechanic
911,110,Lead Mechanic
911,109,Mechanic
912,107,Lead Mechanic
912,110,Mechanic
913,108,Lead Mechanic
914,109,Lead Mechanic
915,112,Lead Mechanic
915,105,Mechanic
916,110,Lead Mechanic
917,106,Lead Mechanic
918,109,Lead Mechanic
918,106,Mechanic
919,109,Lead Mechanic
920,110,Lead Mechanic
921,105,Lead Mechanic
921,110,Mechanic
922,106,Lead Mechanic
923,107,Lead Mechanic
923,110,Mechanic
924,108,Lead Mechanic
924,111,Mechanic
925,107,Lead Mechanic
926,111,Lead Mechanic
