m_id,m_bike_id,m_start_date,m_end_date,m_type
529,210,2024-08-04,2024-08-04,Tire/Tube
530,205,2024-08-04,2024-08-04,Handlebar Adjustment
531,309,2024-08-05,2024-08-05,Brake Adjustment
532,113,2024-08-05,2024-08-05,Chain Lubrication
533,106,2024-08-05,2024-08-05,Tire/Tube
534,209,2024-08-05,2024-08-05,Tire/Tube
535,208,2024-08-05,2024-08-05,Chain Lubrication
536,104,2024-08-06,2024-08-06,Brake Adjustment
537,310,2024-08-06,2024-08-07,Battery Service
538,208,2024-08-07,2024-08-07,Tire/Tube
539,411,2024-08-08,2024-08-09,Derailleur Tune-up
540,130,2024-08-08,2024-08-08,Tire/Tube
541,112,2024-08-08,2024-08-08,General Inspection
542,106,2024-08-08,2024-08-08,General Inspection
543,213,2024-08-09,2024-08-09,Tire/Tube
544,506,2024-08-09,2024-08-09,Tire/Tube
545,512,2024-08-10,2024-08-10,Tire/Tube
546,129,2024-08-10,2024-08-10,Chain Lubrication
547,220,2024-08-10,2024-08-10,Chain Lubrication
548,208,2024-08-10,2024-08-10,Tire/Tube
549,214,2024-08-10,2024-08-10,Chain Lubrication
550,514,2024-08-10,2024-08-10,Brake Adjustment
551,602,2024-08-10,2024-08-11,Frame Inspection
552,129,2024-08-10,2024-08-10,Chain Lubrication
553,123,2024-08-10,2024-08-10,Tire/Tube
554,217,2024-08-10,2024-08-10,Tire/Tube
555,308,2024-08-10,2024-08-10,Tire/Tube
556,109,2024-08-11,2024-08-11,Brake Adjustment
557,207,2024-08-11,2024-08-11,Handlebar Adjustment
558,505,2024-08-11,2024-08-11,Brake Adjustment
559,514,2024-08-11,2024-08-11,Tire/Tube
560,128,2024-08-12,2024-08-12,Chain Lubrication
561,411,2024-08-13,2024-08-14,Derailleur Tune-up
562,303,2024-08-14,2024-08-14,Motor Check
563,115,2024-08-15,2024-08-15,Chain Lubrication
564,211,2024-08-15,2024-08-15,Chain Lubrication
565,604,2024-08-15,2024-08-15,Tire/Tube
566,127,2024-08-16,2024-08-16,Tire/Tube
567,406,2024-08-17,2024-08-17,Brake Adjustment
568,213,2024-08-17,2024-08-17,Chain Lubrication
569,304,2024-08-17,2024-08-18,Battery Service
570,103,2024-08-18,2024-08-18,General Inspection
571,415,2024-08-18,2024-08-18,Tire/Tube
572,604,2024-08-18,2024-08-19,Frame Inspection
573,122,2024-08-18,2024-08-18,Brake Adjustment
574,301,2024-08-18,2024-08-19,Battery Service
575,311,2024-08-18,2024-08-18,Tire/Tube
576,130,2024-08-18,2024-08-18,Brake Adjustment
577,303,2024-08-18,2024-08-18,Brake Adjustment
578,509,2024-08-18,2024-08-18,Brake Adjustment
579,125,2024-08-19,2024-08-19,Tire/Tube
580,504,2024-08-19,2024-08-19,Brake Adjustment
581,401,2024-08-20,2024-08-21,Derailleur Tune-up
582,311,2024-08-20,2024-08-20,Motor Check
583,506,2024-08-21,2024-08-21,Timing Chain Check
584,206,2024-08-21,2024-08-21,Chain Lubrication
585,405,2024-08-21,2024-08-21,Brake Adjustment
586,604,2024-08-23,2024-08-24,Derailleur Tune-up
587,502,2024-08-23,2024-08-23,Tire/Tube
588,313,2024-08-23,2024-08-23,Tire/Tube
589,128,2024-08-23,2024-08-23,Tire/Tube
590,218,2024-08-23,2024-08-23,Handlebar Adjustment
591,505,2024-08-24,2024-08-24,Brake Adjustment
592,514,2024-08-24,2024-08-24,Tire/Tube
593,115,2024-08-24,2024-08-24,Brake Adjustment
594,603,2024-08-25,2024-08-26,Derailleur Tune-up
595,306,2024-08-25,2024-08-26,Battery Service
596,603,2024-08-25,2024-08-26,Frame Inspection
597,127,2024-08-25,2024-08-25,General Inspection
598,202,2024-08-26,2024-08-26,Tire/Tube
599,105,2024-08-26,2024-08-26,Chain Lubrication
600,126,2024-08-28,2024-08-28,General Inspection
601,218,2024-08-28,2024-08-28,Tire/Tube
602,201,2024-08-28,2024-08-28,Chain Lubrication
603,220,2024-08-29,2024-08-29,Handlebar Adjustment
604,605,2024-08-30,2024-08-31,Derailleur Tune-up
605,509,2024-08-30,2024-08-30,Brake Adjustment
606,312,2024-08-30,2024-08-30,Motor Check
607,313,2024-08-30,2024-08-31,Battery Service
608,219,2024-08-31,2024-08-31,Tire/Tube
609,204,2024-08-31,2024-08-31,Chain Lubrication
610,412,2024-08-31,2024-08-31,Brake Adjustment
611,210,2024-08-31,2024-08-31,Chain Lubrication
612,512,2024-08-31,2024-08-31,Tire/Tube
613,214,2024-08-31,2024-08-31,Handlebar Adjustment
614,310,2024-09-01,2024-09-01,Motor Check
615,210,2024-09-01,2024-09-01,Tire/Tube
616,118,2024-09-01,2024-09-01,Brake Adjustment
617,212,2024-09-01,2024-09-01,Chain Lubrication
618,126,2024-09-01,2024-09-01,Chain Lubrication
619,510,2024-09-01,2024-09-01,Timing Chain Check
620,125,2024-09-01,2024-09-01,Tire/Tube
621,311,2024-09-01,2024-09-01,Tire/Tube
622,110,2024-09-02,2024-09-02,Brake Adjustment
623,312,2024-09-02,2024-09-02,Tire/Tube
624,407,2024-09-02,2024-09-02,Brake Adjustment
625,204,2024-09-02,2024-09-02,Handlebar Adjustment
626,205,2024-09-03,2024-09-03,Handlebar Adjustment
627,102,2024-09-04,2024-09-04,Tire/Tube
628,104,2024-09-05,2024-09-05,Chain Lubrication
629,407,2024-09-06,2024-09-06,Brake Adjustment
630,213,2024-09-06,2024-09-06,Chain Lubrication
631,403,2024-09-06,2024-09-07,Derailleur Tune-up
632,413,2024-09-06,2024-09-06,Brake Adjustment
633,210,2024-09-07,2024-09-07,Handlebar Adjustment
634,515,2024-09-07,2024-09-07,Tire/Tube
635,504,2024-09-07,2024-09-07,Brake Adjustment
636,506,2024-09-07,2024-09-07,Brake Adjustment
637,414,2024-09-07,2024-09-08,Derailleur Tune-up
638,415,2024-09-08,2024-09-08,Tire/Tube
639,510,2024-09-08,2024-09-08,Tire/Tube
640,103,2024-09-08,2024-09-08,Brake Adjustment
641,303,2024-09-08,2024-09-08,Motor Check
642,506,2024-09-08,2024-09-08,Tire/Tube
643,114,2024-09-08,2024-09-08,Brake Adjustment
644,503,2024-09-09,2024-09-09,Tire/Tube
645,508,2024-09-09,2024-09-09,Brake Adjustment
646,509,2024-09-09,2024-09-09,Timing Chain Check
647,603,2024-09-09,2024-09-10,Derailleur Tune-up
648,121,2024-09-09,2024-09-09,Chain Lubrication
649,502,2024-09-09,2024-09-09,Timing Chain Check
650,603,2024-09-09,2024-09-09,Tire/Tube
651,217,2024-09-10,2024-09-10,Chain Lubrication
652,410,2024-09-11,2024-09-12,Derailleur Tune-up
653,102,2024-09-11,2024-09-11,Brake Adjustment
654,118,2024-09-13,2024-09-13,Tire/Tube
655,602,2024-09-13,2024-09-13,Tire/Tube
656,126,2024-09-13,2024-09-13,Tire/Tube
657,104,2024-09-14,2024-09-14,Tire/Tube
658,306,2024-09-14,2024-09-14,Motor Check
659,211,2024-09-14,2024-09-14,Tire/Tube
660,120,2024-09-14,2024-09-14,Chain Lubrication
661,124,2024-09-14,2024-09-14,General Inspection
662,502,2024-09-15,2024-09-15,Tire/Tube
663,302,2024-09-15,2024-09-15,Tire/Tube
664,505,2024-09-15,2024-09-15,Brake Adjustment
665,101,2024-09-15,2024-09-15,General Inspection
666,604,2024-09-15,2024-09-16,Frame Inspection
667,127,2024-09-15,2024-09-15,General Inspection
668,206,2024-09-15,2024-09-15,Handlebar Adjustment
669,109,2024-09-15,2024-09-15,Brake Adjustment
670,123,2024-09-15,2024-09-15,Chain Lubrication
671,126,2024-09-15,2024-09-15,General Inspection
672,602,2024-09-15,2024-09-15,Tire/Tube
673,206,2024-09-16,2024-09-16,Handlebar Adjustment
674,403,2024-09-16,2024-09-16,Brake Adjustment
675,112,2024-09-16,2024-09-16,Tire/Tube
676,604,2024-09-16,2024-09-16,Tire/Tube
677,412,2024-09-16,2024-09-16,Brake Adjustment
678,605,2024-09-18,2024-09-19,Frame Inspection
679,403,2024-09-18,2024-09-19,Derailleur Tune-up
680,111,2024-09-19,2024-09-19,General Inspection
681,413,2024-09-20,2024-09-20,Brake Adjustment
682,505,2024-09-20,2024-09-20,Tire/Tube
683,102,2024-09-20,2024-09-20,Chain Lubrication
684,127,2024-09-21,2024-09-21,General Inspection
685,509,2024-09-21,2024-09-21,Brake Adjustment
686,510,2024-09-21,2024-09-21,Brake Adjustment
687,603,2024-09-21,2024-09-21,Tire/Tube
688,412,2024-09-21,2024-09-22,Derailleur Tune-up
689,306,2024-09-22,2024-09-22,Brake Adjustment
690,315,2024-09-22,2024-09-22,Brake Adjustment
691,123,2024-09-22,2024-09-22,Tire/Tube
692,508,2024-09-22,2024-09-22,Tire/Tube
693,413,2024-09-22,2024-09-22,Brake Adjustment
694,514,2024-09-22,2024-09-22,Brake Adjustment
695,301,2024-09-22,2024-09-22,Brake Adjustment
696,107,2024-09-22,2024-09-22,Brake Adjustment
697,207,2024-09-22,2024-09-22,Handlebar Adjustment
698,508,2024-09-23,2024-09-23,Tire/Tube
699,130,2024-09-23,2024-09-23,Tire/Tube
700,409,2024-09-23,2024-09-23,Tire/Tube
701,122,2024-09-23,2024-09-23,General Inspection
702,409,2024-09-23,2024-09-23,Tire/Tube
703,130,2024-09-23,2024-09-23,Tire/Tube
704,603,2024-09-24,2024-09-25,Frame Inspection
705,401,2024-09-25,2024-09-26,Derailleur Tune-up
706,414,2024-09-25,2024-09-25,Brake Adjustment
707,412,2024-09-26,2024-09-27,Derailleur Tune-up
708,402,2024-09-26,2024-09-27,Derailleur Tune-up
709,307,2024-09-26,2024-09-26,Motor Check
710,112,2024-09-26,2024-09-26,Brake Adjustment
711,122,2024-09-26,2024-09-26,Tire/Tube
712,120,2024-09-26,2024-09-26,General Inspection
713,205,2024-09-27,2024-09-27,Chain Lubrication
714,504,2024-09-28,2024-09-28,Brake Adjustment
715,102,2024-09-29,2024-09-29,Chain Lubrication
716,127,2024-09-29,2024-09-29,General Inspection
717,503,2024-09-29,2024-09-29,Tire/Tube
718,220,2024-09-30,2024-09-30,Chain Lubrication
719,515,2024-09-30,2024-09-30,Timing Chain Check
720,118,2024-09-30,2024-09-30,Brake Adjustment
721,130,2024-09-30,2024-09-30,General Inspection
722,302,2024-09-30,2024-09-30,Motor Check
723,415,2024-09-30,2024-09-30,Brake Adjustment
724,505,2024-09-30,2024-09-30,Timing Chain Check
725,301,2024-10-01,2024-10-01,Tire/Tube
726,212,2024-10-01,2024-10-01,Tire/Tube
727,414,2024-10-01,2024-10-01,Tire/Tube
728,407,2024-10-01,2024-10-02,Derailleur Tune-up
729,115,2024-10-02,2024-10-02,Chain Lubrication
730,514,2024-10-02,2024-10-02,Brake Adjustment
731,214,2024-10-04,2024-10-04,Tire/Tube
732,129,2024-10-04,2024-10-04,General Inspection
733,503,2024-10-04,2024-10-04,Tire/Tube
734,207,2024-10-05,2024-10-05,Tire/Tube
735,115,2024-10-05,2024-10-05,Tire/Tube
736,512,2024-10-05,2024-10-05,Tire/Tube
737,127,2024-10-05,2024-10-05,Brake Adjustment
738,215,2024-10-05,2024-10-05,Handlebar Adjustment
739,312,2024-10-05,2024-10-05,Motor Check
740,505,2024-10-06,2024-10-06,Timing Chain Check
741,117,2024-10-06,2024-10-06,Brake Adjustment
742,108,2024-10-06,2024-10-06,Tire/Tube
743,410,2024-10-06,2024-10-06,Tire/Tube
744,504,2024-10-06,2024-10-06,Brake Adjustment
745,106,2024-10-06,2024-10-06,Tire/Tube
746,102,2024-10-07,2024-10-07,Chain Lubrication
747,124,2024-10-07,2024-10-07,Chain Lubrication
748,213,2024-10-07,2024-10-07,Tire/Tube
749,415,2024-10-07,2024-10-07,Brake Adjustment
750,113,2024-10-07,2024-10-07,Chain Lubrication
751,415,2024-10-07,2024-10-07,Tire/Tube
752,120,2024-10-07,2024-10-07,Chain Lubrication
753,214,2024-10-07,2024-10-07,Handlebar Adjustment
754,202,2024-10-07,2024-10-07,Tire/Tube
755,111,2024-10-07,2024-10-07,Brake Adjustment
756,128,2024-10-08,2024-10-08,Tire/Tube
757,404,2024-10-08,2024-10-09,Derailleur Tune-up
758,104,2024-10-08,2024-10-08,Chain Lubrication
759,204,2024-10-09,2024-10-09,Tire/Tube
760,411,2024-10-10,2024-10-11,Derailleur Tune-up
761,109,2024-10-10,2024-10-10,Tire/Tube
762,513,2024-10-10,2024-10-10,Tire/Tube
763,113,2024-10-10,2024-10-10,Chain Lubrication
764,121,2024-10-11,2024-10-11,Chain Lubrication
765,219,2024-10-11,2024-10-11,Tire/Tube
766,407,2024-10-11,2024-10-11,Tire/Tube
767,116,2024-10-11,2024-10-11,Chain Lubrication
768,212,2024-10-11,2024-10-11,Handlebar Adjustment
769,507,2024-10-12,2024-10-12,Brake Adjustment
770,220,2024-10-12,2024-10-12,Handlebar Adjustment
771,111,2024-10-12,2024-10-12,General Inspection
772,313,2024-10-12,2024-10-12,Tire/Tube
773,408,2024-10-13,2024-10-13,Brake Adjustment
774,314,2024-10-13,2024-10-13,Brake Adjustment
775,218,2024-10-13,2024-10-13,Tire/Tube
776,114,2024-10-14,2024-10-14,General Inspection
777,509,2024-10-14,2024-10-14,Timing Chain Check
778,218,2024-10-14,2024-10-14,Chain Lubrication
779,410,2024-10-15,2024-10-15,Brake Adjustment
780,603,2024-10-15,2024-10-16,Frame Inspection
781,415,2024-10-15,2024-10-15,Brake Adjustment
782,101,2024-10-15,2024-10-15,General Inspection
783,115,2024-10-16,2024-10-16,Brake Adjustment
784,108,2024-10-17,2024-10-17,Tire/Tube
785,504,2024-10-17,2024-10-17,Timing Chain Check
786,404,2024-10-17,2024-10-18,Derailleur Tune-up
787,310,2024-10-17,2024-10-18,Battery Service
788,415,2024-10-18,2024-10-19,Derailleur Tune-up
789,314,2024-10-18,2024-10-18,Tire/Tube
790,116,2024-10-18,2024-10-18,Brake Adjustment
791,110,2024-10-18,2024-10-18,General Inspection
792,114,2024-10-20,2024-10-20,General Inspection
793,120,2024-10-20,2024-10-20,General Inspection
794,202,2024-10-20,2024-10-20,Chain Lubrication
795,125,2024-10-20,2024-10-20,General Inspection
796,123,2024-10-20,2024-10-20,Chain Lubrication
797,511,2024-10-20,2024-10-20,Timing Chain Check
798,302,2024-10-20,2024-10-21,Battery Service
799,211,2024-10-21,2024-10-21,Handlebar Adjustment
800,604,2024-10-21,2024-10-21,Tire/Tube
801,119,2024-10-21,2024-10-21,Brake Adjustment
802,514,2024-10-21,2024-10-21,Tire/Tube
803,112,2024-10-21,2024-10-21,Tire/Tube
804,605,2024-10-21,2024-10-21,Tire/Tube
805,118,2024-10-24,2024-10-24,Tire/Tube
806,507,2024-10-24,2024-10-24,Tire/Tube
807,215,2024-10-24,2024-10-24,Handlebar Adjustment
808,303,2024-10-24,2024-10-24,Tire/Tube
809,313,2024-10-25,2024-10-25,Motor Check
810,220,2024-10-25,2024-10-25,Handlebar Adjustment
811,306,2024-10-25,2024-10-25,Brake Adjustment
812,205,2024-10-25,2024-10-25,Handlebar Adjustment
813,106,2024-10-25,2024-10-25,Tire/Tube
814,116,2024-10-26,2024-10-26,General Inspection
815,309,2024-10-26,2024-10-26,Motor Check
816,508,2024-10-27,2024-10-27,Brake Adjustment
817,207,2024-10-27,2024-10-27,Handlebar Adjustment
818,206,2024-10-27,2024-10-27,Chain Lubrication
819,101,2024-10-28,2024-10-28,Tire/Tube
820,511,2024-10-28,2024-10-28,Tire/Tube
821,513,2024-10-28,2024-10-28,Timing Chain Check
822,602,2024-10-28,2024-10-29,Derailleur Tune-up
823,102,2024-10-28,2024-10-28,Brake Adjustment
824,301,2024-10-28,2024-10-28,Motor Check
825,507,2024-10-28,2024-10-28,Brake Adjustment
826,313,2024-10-29,2024-10-30,Battery Service
827,402,2024-10-30,2024-10-30,Tire/Tube
828,409,2024-10-30,2024-10-30,Brake Adjustment
829,406,2024-10-31,2024-10-31,Tire/Tube
830,502,2024-10-31,2024-10-31,Timing Chain Check
831,112,2024-11-01,2024-11-01,General Inspection
832,208,2024-11-01,2024-11-01,Tire/Tube
833,312,2024-11-01,2024-11-01,Motor Check
834,211,2024-11-02,2024-11-02,Tire/Tube
835,205,2024-11-02,2024-11-02,Handlebar Adjustment
836,507,2024-11-02,2024-11-02,Brake Adjustment
837,410,2024-11-02,2024-11-03,Derailleur Tune-up
838,106,2024-11-02,2024-11-02,General Inspection
839,412,2024-11-03,2024-11-03,Brake Adjustment
840,106,2024-11-03,2024-11-03,General Inspection
841,505,2024-11-04,2024-11-04,Brake Adjustment
842,216,2024-11-04,2024-11-04,Handlebar Adjustment
843,110,2024-11-05,2024-11-05,Brake Adjustment
844,125,2024-11-05,2024-11-05,Brake Adjustment
845,110,2024-11-08,2024-11-08,Tire/Tube
846,305,2024-11-09,2024-11-09,Motor Check
847,509,2024-11-10,2024-11-10,Timing Chain Check
848,129,2024-11-10,2024-11-10,Brake Adjustment
849,113,2024-11-10,2024-11-10,Tire/Tube
850,402,2024-11-11,2024-11-12,Derailleur Tune-up
851,409,2024-11-11,2024-11-11,Brake Adjustment
852,513,2024-11-11,2024-11-11,Timing Chain Check
853,309,2024-11-14,2024-11-14,Motor Check
854,113,2024-11-16,2024-11-16,Tire/Tube
855,104,2024-11-17,2024-11-17,General Inspection
856,414,2024-11-17,2024-11-17,Brake Adjustment
857,110,2024-11-17,2024-11-17,Tire/Tube
858,213,2024-11-17,2024-11-17,Tire/Tube
859,114,2024-11-17,2024-11-17,Chain Lubrication
860,309,2024-11-17,2024-11-18,Battery Service
861,206,2024-11-18,2024-11-18,Handlebar Adjustment
862,120,2024-11-18,2024-11-18,Brake Adjustment
863,215,2024-11-18,2024-11-18,Chain Lubrication
864,304,2024-11-19,2024-11-19,Motor Check
865,124,2024-11-22,2024-11-22,Brake Adjustment
866,404,2024-11-22,2024-11-22,Brake Adjustment
867,514,2024-11-22,2024-11-22,Brake Adjustment
868,503,2024-11-22,2024-11-22,Brake Adjustment
869,311,2024-11-23,2024-11-23,Tire/Tube
870,207,2024-11-23,2024-11-23,Chain Lubrication
871,602,2024-11-24,2024-11-24,Tire/Tube
872,216,2024-11-25,2024-11-25,Tire/Tube
873,111,2024-11-25,2024-11-25,Chain Lubrication
874,502,2024-11-25,2024-11-25,Brake Adjustment
875,601,2024-11-25,2024-11-26,Frame Inspection
876,220,2024-11-25,2024-11-25,Tire/Tube
877,315,2024-11-25,2024-11-26,Battery Service
878,202,2024-11-27,2024-11-27,Tire/Tube
879,128,2024-11-28,2024-11-28,Tire/Tube
880,304,2024-11-29,2024-11-29,Motor Check
881,103,2024-11-29,2024-11-29,Chain Lubrication
882,505,2024-11-30,2024-11-30,Brake Adjustment
883,204,2024-11-30,2024-11-30,Tire/Tube
884,201,2024-12-01,2024-12-01,Tire/Tube
885,508,2024-12-02,2024-12-02,Tire/Tube
886,220,2024-12-02,2024-12-02,Handlebar Adjustment
887,406,2024-12-02,2024-12-02,Tire/Tube
888,414,2024-12-02,2024-12-02,Tire/Tube
889,210,2024-12-06,2024-12-06,Handlebar Adjustment
890,505,2024-12-06,2024-12-06,Brake Adjustment
891,208,2024-12-08,2024-12-08,Tire/Tube
892,305,2024-12-09,2024-12-09,Motor Check
893,220,2024-12-09,2024-12-09,Chain Lubrication
894,117,2024-12-10,2024-12-10,General Inspection
895,412,2024-12-11,2024-12-11,Tire/Tube
896,501,2024-12-11,2024-12-11,Brake Adjustment
897,315,2024-12-14,2024-12-15,Battery Service
898,114,2024-12-15,2024-12-15,Tire/Tube
899,118,2024-12-15,2024-12-15,Tire/Tube
900,204,2024-12-15,2024-12-15,Chain Lubrication
901,409,2024-12-16,2024-12-17,Derailleur Tune-up
902,513,2024-12-16,2024-12-16,Tire/Tube
903,303,2024-12-16,2024-12-16,Tire/Tube
904,506,2024-12-18,2024-12-18,Timing Chain Check
905,306,2024-12-19,2024-12-19,Tire/Tube
906,302,2024-12-20,2024-12-20,Motor Check
907,103,2024-12-20,2024-12-20,Brake Adjustment
908,215,2024-12-20,2024-12-20,Tire/Tube
909,501,2024-12-21,2024-12-21,Tire/Tube
910,407,2024-12-21,2024-12-21,Tire/Tube
911,306,2024-12-21,2024-12-21,Tire/Tube
912,215,2024-12-22,2024-12-22,Handlebar Adjustment
913,410,2024-12-23,2024-12-24,Derailleur Tune-up
914,307,2024-12-23,2024-12-23,Brake Adjustment
915,311,2024-12-23,2024-12-23,Brake Adjustment
916,404,2024-12-25,2024-12-25,Tire/Tube
917,205,2024-12-25,2024-12-25,Tire/Tube
918,406,2024-12-27,2024-12-27,Brake Adjustment
919,310,2024-12-27,2024-12-27,Motor Check
920,414,2024-12-28,2024-12-28,Tire/Tube
921,409,2024-12-28,2024-12-28,Tire/Tube
922,121,2024-12-29,2024-12-29,General Inspection
923,109,2024-12-29,2024-12-29,Chain Lubrication
924,602,2024-12-30,2024-12-31,Frame Inspection
925,126,2024-12-30,2024-12-30,General Inspection
926,105,2024-12-31,2024-12-31,Tire/Tube
